目标,MAE,MSE,RMSE,R2,MAPE(%),SMAPE(%)
整层构建总自重,1020.812744140625,2499448.25,1580.96435546875,0.9095629640896938,21.961785852909088,15.420396625995636
整体合计恒载,4828.86767578125,45245324.0,6726.46435546875,0.9353892712854242,24.080169200897217,16.757455468177795
整体平均,2924.84033203125,23872386.0,4153.71435546875,0.922476117687559,23.020977526903152,16.088926047086716
